3,・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEs・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEｮ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEp・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE^・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE[・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,雑魚敵の種類,x・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEﾀ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEW,y・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEﾀ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEW,・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEｬ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEx,・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEe・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEｭ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEﾋ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEﾔ,弾幕の種類,色,体力,弾の種類,wait・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEl,・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEA・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEC・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEe・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEﾞ,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,bullet,col,hp,shotbull,wait,item_n,,,,,
200,0,0,200,-20,1,20,0,1,180,2,2,0,,,,,
240,0,0,200,-20,1,20,0,1,180,2,2,0,,,,,
280,0,0,200,-20,1,20,0,1,180,2,2,0,,,,,
320,0,0,200,-20,1,20,0,1,180,2,2,0,,,,,
360,1,0,900,-20,1,20,0,1,150,2,2,0,,,,,
400,1,0,900,-20,1,20,0,1,150,2,2,0,,,,,
440,1,0,900,-20,1,20,0,1,150,2,2,0,,,,,
480,1,0,900,-20,1,20,0,1,150,2,2,0,,,,,
,,,,,,,,,,,,,,,,,
1100,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
1140,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
1180,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
1220,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
1260,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
1300,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
1340,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
1380,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
1420,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
1460,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
1500,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
1540,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
1580,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
1620,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
1100,0,0,350,-20,1,20,2,7,120,0,500,0,,,,,
1140,0,0,350,-20,1,20,2,7,120,0,500,0,,,,,
1180,0,0,350,-20,1,20,2,7,120,0,500,0,,,,,
1220,0,0,350,-20,1,20,2,7,120,0,500,0,,,,,
1260,0,0,350,-20,1,20,2,7,120,0,500,0,,,,,
1300,0,0,350,-20,1,20,2,7,120,0,500,0,,,,,
1340,0,0,350,-20,1,20,2,7,120,0,500,0,,,,,
1380,1,0,750,-20,1,20,2,7,120,0,500,0,,,,,
1420,1,0,750,-20,1,20,2,7,120,0,500,0,,,,,
1460,1,0,750,-20,1,20,2,7,120,0,500,0,,,,,
1500,1,0,750,-20,1,20,2,7,120,0,500,0,,,,,
1540,1,0,750,-20,1,20,2,7,120,0,500,0,,,,,
1580,1,0,750,-20,1,20,2,7,120,0,500,0,,,,,
1620,1,0,750,-20,1,20,2,7,120,0,500,0,,,,,
,,,,,,,,,,,,,,,,,
1800,2,1,200,-20,0,20,1,1,400,1,500,1,,,,,
1800,2,1,550,-20,0,20,1,1,400,1,500,0,,,,,
1800,2,1,900,-20,0,20,1,1,400,1,500,1,,,,,
,,,,,,,,,,,,,,,,,
1850,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
1890,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
1930,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
1970,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
2010,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
2050,1,0,900,-20,1,20,2,7,110,0,500,0,,,,,
2090,1,0,900,-20,1,20,2,7,110,0,500,0,,,,,
2130,1,0,900,-20,1,20,2,7,110,0,500,0,,,,,
2170,1,0,900,-20,1,20,2,7,110,0,500,0,,,,,
,,,,,,,,,,,,,,,,,
2300,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
2340,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
2380,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
2420,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
2460,0,0,200,-20,1,20,2,7,110,0,500,0,,,,,
2500,1,0,900,-20,1,20,2,7,110,0,500,0,,,,,
2540,1,0,900,-20,1,20,2,7,110,0,500,0,,,,,
2580,1,0,900,-20,1,20,2,7,110,0,500,0,,,,,
,,,,,,,,,,,,,,,,,
2720,2,1,600,-20,0,20,3,4,400,3,500,0,,,,,
2720,0,0,200,-20,1,20,2,1,110,2,500,0,,,,,
2770,0,0,200,-20,1,20,2,1,110,2,500,0,,,,,
2820,0,0,200,-20,1,20,2,1,110,2,500,0,,,,,
2870,1,0,900,-20,1,20,2,1,110,2,500,0,,,,,
2920,1,0,900,-20,1,20,2,1,110,2,500,0,,,,,
2970,1,0,900,-20,1,20,2,1,110,2,500,0,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3550,3,1,200,-20,0,20,4,2,500,3,500,1,,,,,
3550,4,1,900,-20,0,20,5,2,500,3,500,1,,,,,
3550,3,1,400,-20,0,20,4,2,500,3,500,1,,,,,
3550,4,1,700,-20,0,20,5,2,500,3,500,1,,,,,
,,,,,,,,,,,,,,,,,
3620,0,0,200,-20,1,20,2,1,120,2,500,0,,,,,
3690,0,0,200,-20,1,20,2,1,120,2,500,0,,,,,
3760,0,0,200,-20,1,20,2,1,120,2,500,0,,,,,
3830,1,0,900,-20,1,20,2,1,120,2,500,0,,,,,
3900,1,0,900,-20,1,20,2,1,120,2,500,0,,,,,
3970,1,0,900,-20,1,20,2,1,120,2,500,0,,,,,
3620,0,0,350,-20,1,20,2,1,120,2,500,0,,,,,
3690,0,0,350,-20,1,20,2,1,120,2,500,0,,,,,
3760,0,0,350,-20,1,20,2,1,120,2,500,0,,,,,
3830,1,0,750,-20,1,20,2,1,120,2,500,0,,,,,
3900,1,0,750,-20,1,20,2,1,120,2,500,0,,,,,
3970,1,0,750,-20,1,20,2,1,120,2,500,0,,,,,
,,,,,,,,,,,,,,,,,
4100,3,1,200,-20,0,20,4,2,500,3,500,1,,,,,
4100,4,1,900,-20,0,20,5,2,500,3,500,1,,,,,
,,,,,,,,,,,,,,,,,
4400,3,1,200,-20,0,20,4,2,500,1,500,1,,,,,
4400,4,1,900,-20,0,20,5,2,500,1,500,1,,,,,
4400,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
4370,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
4440,0,0,200,-20,1,20,2,7,120,0,500,0,,,,,
4510,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
4580,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
4650,1,0,900,-20,1,20,2,7,120,0,500,0,,,,,
,,,,,,,,,,,,,,,,,
4800,0,0,200,-20,1,20,2,1,120,2,500,0,,,,,
4800,1,0,900,-20,1,20,2,1,120,2,500,0,,,,,
,,,,,,,,,,,,,,,,,
5000,3,1,200,-20,0,20,4,2,500,3,500,1,,,,,
5000,4,1,900,-20,0,20,5,2,500,3,500,1,,,,,
5000,3,1,400,-20,0,20,4,2,500,3,500,1,,,,,
5000,4,1,700,-20,0,20,5,2,500,3,500,1,,,,,
