/・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEJ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE^,行動パターン,敵の種類,x軸,y軸,速さ,時間,弾幕の種類,弾の色,体力,弾の種類,待機時間,落とすアイテム,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,bulletknd,col,hp,Shotknd,wait,item_n,,,,,
300400,8,0,100,250,0,15,0,8,750,1,100,0,,,,,
300440,8,0,100,250,0,15,0,8,750,1,100,0,,,,,
300480,8,0,100,250,0,15,0,8,750,1,100,0,,,,,
300520,8,0,100,250,0,15,0,8,750,1,100,0,,,,,
300560,8,0,100,250,0,15,0,8,750,1,100,0,,,,,
300600,8,0,100,250,0,15,0,8,750,1,100,0,,,,,
300640,9,0,100,250,0,15,0,8,750,1,100,0,,,,,
300680,9,0,100,250,0,15,0,8,750,1,100,0,,,,,
300720,9,0,100,250,0,15,0,8,750,1,100,0,,,,,
300760,9,0,100,250,0,15,0,8,750,1,100,0,,,,,
300800,9,0,100,250,0,15,0,8,750,1,100,0,,,,,
300840,9,0,100,250,0,15,0,8,750,1,100,0,,,,,
,,,,,,,,,,,,,,,,,
300900,2,2,600,-20,0,20,1,2,2550,3,500,0,,,,,
,,,,,,,,,,,,,,,,,
301300,8,0,100,250,0,15,2,3,820,3,100,0,,,,,
301360,8,0,100,250,0,15,2,3,820,3,100,0,,,,,
301420,8,0,100,250,0,15,2,3,820,3,100,0,,,,,
301480,9,0,100,250,0,15,2,3,820,3,100,0,,,,,
301540,9,0,100,250,0,15,2,3,820,3,100,0,,,,,
301600,9,0,100,250,0,15,2,3,820,3,100,0,,,,,
,,,,,,,,,,,,,,,,,
301700,8,0,100,250,0,15,2,3,820,3,100,0,,,,,
301760,8,0,100,250,0,15,2,3,820,3,100,0,,,,,
301820,8,0,100,250,0,15,2,3,820,3,100,0,,,,,
301880,8,0,100,250,0,15,2,3,820,3,100,0,,,,,
301940,9,0,100,250,0,15,2,3,820,3,100,0,,,,,
302000,9,0,100,250,0,15,2,3,820,3,100,0,,,,,
302060,9,0,100,250,0,15,2,3,820,3,100,0,,,,,
302120,9,0,100,250,0,15,2,3,820,3,100,0,,,,,
,,,,,,,,,,,,,,,,,
302550,2,2,400,-20,0,20,1,2,1750,3,500,0,,,,,
302550,2,2,800,-20,0,20,1,2,1750,3,500,0,,,,,
,,,,,,,,,,,,,,,,,
303000,2,2,600,-20,0,20,1,2,2300,3,500,0,,,,,
,,,,,,,,,,,,,,,,,
303350,2,2,300,-20,0,20,1,5,1750,3,500,0,,,,,
303350,2,2,900,-20,0,20,1,5,1750,3,500,0,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
304400,8,0,600,300,0,20,5,6,590,1,500,0,,,,,
304450,8,0,600,300,0,20,5,6,590,1,500,0,,,,,
304500,8,0,600,300,0,20,5,6,590,1,500,0,,,,,
304550,8,0,600,300,0,20,5,6,590,1,500,0,,,,,
304600,9,0,600,600,0,20,5,6,590,1,500,0,,,,,
304650,9,0,600,600,0,20,5,6,590,1,500,0,,,,,
304700,9,0,600,600,0,20,5,6,590,1,500,0,,,,,
304750,9,0,600,600,0,20,5,6,590,1,500,0,,,,,
,,,,,,,,,,,,,,,,,
304800,8,0,600,600,0,20,5,6,590,1,500,0,,,,,
304850,8,0,600,600,0,20,5,6,590,1,500,0,,,,,
304900,8,0,600,600,0,20,5,6,590,1,500,0,,,,,
304950,8,0,600,600,0,20,5,6,590,1,500,0,,,,,
305000,9,0,600,300,0,20,5,6,590,1,500,0,,,,,
305050,9,0,600,300,0,20,5,6,590,1,500,0,,,,,
305100,9,0,600,300,0,20,5,6,590,1,500,0,,,,,
305150,9,0,600,300,0,20,5,6,590,1,500,0,,,,,
,,,,,,,,,,,,,,,,,
305500,2,2,300,-20,0,20,3,5,1500,3,500,0,,,,,
305500,2,2,900,-20,0,20,4,5,1500,3,500,0,,,,,
,,,,,,,,,,,,,,,,,
305900,8,0,600,300,0,20,5,6,560,7,500,0,,,,,
305950,8,0,600,300,0,20,5,6,560,7,500,0,,,,,
306000,8,0,600,300,0,20,5,6,560,7,500,0,,,,,
306050,8,0,600,300,0,20,5,6,560,7,500,0,,,,,
306100,8,0,600,300,0,20,5,6,560,7,500,0,,,,,
,,,,,,,,,,,,,,,,,
305900,9,0,600,300,0,20,5,6,560,7,500,0,,,,,
305950,9,0,600,300,0,20,5,6,560,7,500,0,,,,,
306000,9,0,600,300,0,20,5,6,560,7,500,0,,,,,
306050,9,0,600,300,0,20,5,6,560,7,500,0,,,,,
306100,9,0,600,300,0,20,5,6,560,7,500,0,,,,,
,,,,,,,,,,,,,,,,,
306200,2,2,300,-20,0,20,4,5,2400,3,500,0,,,,,
306200,2,2,900,-20,0,20,3,5,2400,3,500,0,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1,-1
